title,rank,top_250_rank,year,kind,imdb_id,rating,genre,director
Three Little Pigs,232,,1933,movie,24660,7.7,"Animation, Musical, Family, Comedy, Short",Burt Gillett
The Public Enemy,233,,1931,movie,22286,7.8,"Action, Crime, Drama",William A. Wellman
The Rocky Horror Picture Show,234,,1975,movie,73629,7.1,"Comedy, Musical",Jim Sharman
Rain Man,235,,1988,movie,95953,8,Drama,Barry Levinson
L'atalante,236,,1934,movie,24844,8,"Drama, Romance",Jean Vigo
Persona,237,205,1966,movie,60827,8.2,"Drama, Fantasy",Ingmar Bergman
Dawn of the Dead,238,,1978,movie,77402,8,"Action, Horror",George A. Romero
Bonanza,239,,1959,tv series,52451,7.4,"Action, Comedy, Drama, Romance, War, Western",William F. Claxton
Fatal Attraction,240,,1987,movie,93010,6.8,"Drama, Thriller",Adrian Lyne
It! The Terror from Beyond Space,241,,1958,movie,51786,6,"Horror, Sci-Fi",Edward L. Cahn
Toast of the Town,242,,1948,tv series,40053,8.3,"Comedy, Music",John Moffitt
The French Connection,243,,1971,movie,67116,7.9,"Action, Crime, Thriller",William Friedkin
Peter Pan,244,,1953,movie,46183,7.3,"Animation, Adventure, Family, Fantasy, Music",Clyde Geronimi
Miami Vice,245,,1984,tv series,86759,7.8,"Action, Crime, Drama, Thriller",John Nicolella
Star Wars: Episode I - The Phantom Menace,246,,1999,movie,120915,6.4,"Action, Adventure, Fantasy, Sci-Fi",George Lucas
Goodfellas,247,15,1990,movie,99685,8.8,"Crime, Drama, Thriller",Martin Scorsese
The Egyptian,248,,1954,movie,46949,6.2,"Drama, History",Michael Curtiz
Hawaii Five-O,249,,1968,tv series,62568,7.6,"Crime, Drama, Mystery",Michael O'Herlihy
Charlie's Angels,250,,1976,tv series,73972,6.6,"Action, Adventure, Crime, Drama, Mystery",Dennis Donnelly
